event_id	event_type	avecost	Lscore	CNval	true	length	prevals	orders	numhists
0.4	adj	1.0	0.999950027485	1.0	1	1500000	1.0,1.0,0.0	4.0,7.8,3.48711915483	20010
0.10	adj	1.0	0.999950027485	1.0	1	1199999	1.0,1.0,0.0	10.0,5.7,2.60959767014	20010
0.7	adj	1.0	0.999950027485	1.0	1	6599999	1.0,1.0,0.0	7.0,7.2,3.21869538789	20010
0.2	adj	1.0	0.999950027485	1.0	1	3100000	1.0,1.0,0.0	2.0,7.5,3.1384709653	20010
0.9	adj	1.0	0.999950027485	1.0	1	3799999	1.0,1.0,0.0	9.0,6.7,3.0347981811	20010
0.6	adj	1.0	0.999950027485	1.0	1	699999	1.0,1.0,0.0	6.0,7.7,4.17252920901	20010
0.13	adj	1.0	0.999950027485	1.0	1	7699999	1.0,1.0,0.0	13.0,5.3,3.1	20010
0.3	adj	1.0	0.999950027485	1.0	1	6300000	1.0,1.0,0.0	3.0,7.1,1.37477270849	20010
0.11	adj	1.0	0.999950027485	1.0	1	6399999	1.0,1.0,0.0	11.0,5.3,2.14709105536	20010
0.2	adj	1.0	0	1.0	-3	2500000	1.0,1.0,0.0	2.0,2.0,0.0	1
10000.3	adj	-1	0.999950027485	1.0	3	2500000	-1,1.0,0.0	-1,4.3,2.05182845287	20010
0.5	adj	1.0	0	1.0	-3	2500000	1.0,1.0,0.0	5.0,5.0,0.0	1
0.10	adj	1.0	0	1.0	-3	2600001	1.0,1.0,0.0	10.0,10.0,0.0	1
0.13	del	1.0	0.999950027485	1.0	1	500000	1.0,1.0,0.0	13.0,5.9,2.46779253585	20010
0.9	adj	1.0	0	1.0	-3	9199999	1.0,1.0,0.0	9.0,9.0,0.0	1
10000.1	adj	-1	0.999950027485	1.0	3	9199999	-1,1.0,0.0	-1,4.8,3.02654919008	20010
0.7	adj	1.0	0.999950027485	1.0	1	3399999	1.0,1.0,0.0	7.0,4.0,2.32379000772	20010
0.4	adj	1.0	0.999950027485	1.0	1	3400000	1.0,1.0,0.0	4.0,4.3,1.61554944214	20010
0.12	amp	0.75	0.999950027485	1.0	1	100000	1.0,1.0,0.0	12.0,4.9,2.91376045687	20010
0.8	adj	1.0	0	1.0	-3	300000	1.0,1.0,0.0	8.0,8.0,0.0	1
0.6	adj	1.0	0.999950027485	1.0	1	2799999	1.0,1.0,0.0	6.0,4.4,3.13687742827	20010
10000.4	adj	-1	0.999950027485	1.0	3	6100000	-1,1.0,0.0	-1,4.88210894553,2.29710826844	20010
0.9	adj	1.0	0	1.0	-3	6100000	1.0,1.0,0.0	9.0,9.0,0.0	1
0.7	adj	1.21531734133	0.999950027485	1.0	1	4999999	1.0,1.0,0.0	7.0,3.91374312844,2.65686404784	20010
0.2	adj	1.24182908546	0.999950027485	1.0	1	5600000	1.0,1.0,0.0	2.0,4.13168415792,2.15018347303	20010
0.5	adj	1.0	0	1.0	-3	6100000	1.0,1.0,0.0	5.0,5.0,0.0	1
60745.7	oth	-1	9.99450302334e-05	1.0	0	200000	-1,1.0,0.0	-1,7.0,0.0	2
11463.5	oth	-1	0.00214881815002	1.0	0	300000	-1,1.0,0.0	-1,5.60465116279,1.65851621671	43
10856.6	oth	-1	9.99450302334e-05	2.0	0	300000	-1,1.0,0.0	-1,3.5,2.5	2
10855.1	oth	-1	0.00014991754535	5.0	0	300000	-1,1.0,0.0	-1,3.0,1.41421356237	3
40920.5	amp	-1	0.000249862575583	1.0	0	200000	-1,1.0,0.0	-1,6.0,2.2803508502	5
10314.4	amp	-1	0.00109939533257	1.0	0	300000	-1,1.0,0.0	-1,5.86363636364,1.76572041814	22
0.12	adj	1.32863181504	0.579281395233	1.0	1	4299999	1.0,1.0,0.0	12.0,5.08488612836,2.41845033145	11592
10034.7	adj	-1	0.00524711408725	2.0	0	4299999	-1,1.0,0.0	-1,4.12380952381,2.299876759	105
10455.4	adj	-1	0.0026985158163	4.0	0	4299999	-1,1.0,0.0	-1,4.33333333333,1.03637545034	54
80328.4	adj	-1	4.99725151167e-05	5.0	0	4299999	-1,1.0,0.0	-1,4.0,0.0	1
71080.8	oth	-1	4.99725151167e-05	1.0	0	200000	-1,1.0,0.0	-1,8.0,0.0	1
50039.2	oth	-1	9.99450302334e-05	3.0	0	200000	-1,1.0,0.0	-1,1.5,0.5	2
51784.6	oth	-1	9.99450302334e-05	1.0	0	300000	-1,1.0,0.0	-1,7.0,1.0	2
11608.5	oth	-1	4.99725151167e-05	5.0	0	300000	-1,1.0,0.0	-1,5.0,0.0	1
40019.8	amp	-1	9.99450302334e-05	1.0	0	4299999	-1,1.0,0.0	-1,5.5,2.5	2
31219.4	oth	-1	9.99450302334e-05	1.0	0	200000	-1,1.0,0.0	-1,2.5,1.5	2
91837.6	amp	-1	9.99450302334e-05	1.0	0	200000	-1,1.0,0.0	-1,6.0,0.0	2
50000.6	oth	-1	0.00014991754535	1.0	0	200000	-1,1.0,0.0	-1,5.0,2.16024689947	3
10052.2	amp	-1	0.0233871370746	1.0	0	4299999	-1,1.0,0.0	-1,5.67735042735,1.95476620814	468
10740.3	amp	-1	0.00164909299885	2.0	0	4299999	-1,1.0,0.0	-1,4.06060606061,1.88999589449	33
31317.4	amp	-1	0.000249862575583	4.0	0	4299999	-1,1.0,0.0	-1,3.8,1.72046505341	5
10847.5	amp	-1	9.99450302334e-05	5.0	0	4299999	-1,1.0,0.0	-1,5.0,0.0	2
20435.7	amp	-1	0.00174903802908	1.0	0	200000	-1,1.0,0.0	-1,6.05714285714,1.771889341	35
20436.2	amp	-1	0.000249862575583	2.0	0	200000	-1,1.0,0.0	-1,3.4,1.2	5
11010.8	amp	-1	0.0008995052721	1.0	0	300000	-1,1.0,0.0	-1,4.27777777778,1.4834477692	18
50364.5	amp	-1	9.99450302334e-05	2.0	0	300000	-1,1.0,0.0	-1,6.0,1.0	2
50857.1	amp	-1	0.00014991754535	5.0	0	300000	-1,1.0,0.0	-1,1.0,0.0	3
10441.8	amp	-1	0.000699615211634	1.0	0	100000	-1,1.0,0.0	-1,6.42857142857,1.63507473461	14
10030.5	amp	-1	0.00409774623957	2.0	0	100000	-1,1.0,0.0	-1,4.92682926829,1.73050456342	82
10041.4	oth	-1	0.0422267752736	1.0	0	200000	-1,1.0,0.0	-1,5.15147928994,1.98592999122	845
10023.5	oth	-1	0.0129428814152	2.0	0	200000	-1,1.0,0.0	-1,4.05019305019,1.81408846288	259
10796.3	oth	-1	0.000249862575583	4.0	0	200000	-1,1.0,0.0	-1,3.8,1.32664991614	5
31624.5	oth	-1	0.000399780120933	5.0	0	200000	-1,1.0,0.0	-1,3.875,1.16592238164	8
30787.3	oth	-1	4.99725151167e-05	6.0	0	200000	-1,1.0,0.0	-1,3.0,0.0	1
10364.6	oth	-1	0.00454749887562	1.0	0	100000	-1,1.0,0.0	-1,6.1978021978,1.91132989901	91
20999.2	oth	-1	0.000249862575583	2.0	0	100000	-1,1.0,0.0	-1,3.2,1.72046505341	5
10808.6	oth	-1	0.000999450302334	1.0	0	100000	-1,1.0,0.0	-1,5.0,2.52982212813	20
10804.6	oth	-1	0.00499725151167	2.0	0	100000	-1,1.0,0.0	-1,4.3,1.808314132	100
81409.4	oth	-1	9.99450302334e-05	4.0	0	100000	-1,1.0,0.0	-1,3.5,0.5	2
61124.1	oth	-1	9.99450302334e-05	5.0	0	100000	-1,1.0,0.0	-1,1.0,0.0	2
10843.4	amp	-1	0.0041976912698	1.0	0	100000	-1,1.0,0.0	-1,4.66666666667,2.16758222414	84
20407.2	amp	-1	0.000399780120933	2.0	0	100000	-1,1.0,0.0	-1,4.375,1.86664806538	8
70565.6	amp	-1	9.99450302334e-05	3.0	0	100000	-1,1.0,0.0	-1,6.5,0.5	2
10849.1	amp	-1	0.000399780120933	5.0	0	100000	-1,1.0,0.0	-1,2.375,1.11102430216	8
10179.5	oth	-1	0.0430263355155	1.0	0	300000	-1,1.0,0.0	-1,4.57839721254,2.06062533165	861
10264.3	oth	-1	0.0129928539303	2.0	0	300000	-1,1.0,0.0	-1,3.61538461538,1.76236124553	260
10797.5	oth	-1	0.00234870821048	4.0	0	300000	-1,1.0,0.0	-1,3.27659574468,1.45429850984	47
10848.5	oth	-1	0.00424766378492	5.0	0	300000	-1,1.0,0.0	-1,2.24705882353,1.49434921781	85
10055.7	oth	-1	0.000699615211634	1.0	0	200000	-1,1.0,0.0	-1,5.0,2.0	14
10591.1	oth	-1	0.00274848833142	1.0	0	300000	-1,1.0,0.0	-1,5.32727272727,2.08068647286	55
20541.1	oth	-1	0.00014991754535	2.0	0	300000	-1,1.0,0.0	-1,2.33333333333,1.24721912892	3
90338.2	oth	-1	0.00014991754535	5.0	0	300000	-1,1.0,0.0	-1,2.0,0.0	3
50001.8	amp	-1	0.0002998350907	1.0	0	200000	-1,1.0,0.0	-1,5.33333333333,2.28521820013	6
10971.8	oth	-1	0.000249862575583	1.0	0	4299999	-1,1.0,0.0	-1,5.4,2.49799919936	5
10001.7	amp	-1	0.0256359002549	1.0	0	4299999	-1,1.0,0.0	-1,5.36647173489,1.99761227539	513
10255.2	amp	-1	0.00284843336165	2.0	0	4299999	-1,1.0,0.0	-1,3.9298245614,2.07626223813	57
30605.4	amp	-1	4.99725151167e-05	4.0	0	4299999	-1,1.0,0.0	-1,4.0,0.0	1
10018.4	amp	-1	0.00139923042327	1.0	0	200000	-1,1.0,0.0	-1,6.14285714286,1.90327322778	28
10019.4	amp	-1	0.0002998350907	2.0	0	200000	-1,1.0,0.0	-1,3.33333333333,0.942809041582	6
10941.7	amp	-1	0.000999450302334	1.0	0	300000	-1,1.0,0.0	-1,4.9,2.32163735325	20
11933.5	amp	-1	0.00014991754535	2.0	0	300000	-1,1.0,0.0	-1,4.33333333333,0.942809041582	3
11347.5	amp	-1	0.00044975263605	5.0	0	300000	-1,1.0,0.0	-1,4.22222222222,1.31468439624	9
10869.8	amp	-1	0.00159912048373	1.0	0	100000	-1,1.0,0.0	-1,6.25,2.04633819297	32
10486.4	amp	-1	0.00309829593723	2.0	0	100000	-1,1.0,0.0	-1,5.17741935484,1.83623206022	62
81114.5	amp	-1	0.00014991754535	1.0	0	100000	-1,1.0,0.0	-1,4.66666666667,0.471404520791	3
10606.4	amp	-1	0.00159912048373	2.0	0	100000	-1,1.0,0.0	-1,5.125,2.3418742494	32
41478.4	amp	-1	4.99725151167e-05	5.0	0	100000	-1,1.0,0.0	-1,4.0,0.0	1
10015.4	oth	-1	0.0605666883214	1.0	0	200000	-1,1.0,0.0	-1,4.84158415842,2.06366974198	1212
10020.2	oth	-1	0.0435760331818	2.0	0	200000	-1,1.0,0.0	-1,3.94610091743,1.82630710484	872
21683.5	oth	-1	0.000199890060467	3.0	0	200000	-1,1.0,0.0	-1,3.75,1.29903810568	4
30226.5	oth	-1	0.000249862575583	4.0	0	200000	-1,1.0,0.0	-1,3.6,1.74355957742	5
11342.3	oth	-1	0.000349807605817	5.0	0	200000	-1,1.0,0.0	-1,3.42857142857,1.39970842445	7
30538.3	oth	-1	9.99450302334e-05	6.0	0	200000	-1,1.0,0.0	-1,3.5,0.5	2
30719.5	amp	-1	4.99725151167e-05	1.0	0	200000	-1,1.0,0.0	-1,5.0,0.0	1
10417.5	oth	-1	0.00464744390585	1.0	0	100000	-1,1.0,0.0	-1,5.63440860215,2.05716657752	93
30477.6	oth	-1	0.0002998350907	2.0	0	100000	-1,1.0,0.0	-1,4.0,1.52752523165	6
10970.6	oth	-1	0.00259857078607	1.0	0	100000	-1,1.0,0.0	-1,5.42307692308,2.12445607379	52
10306.4	oth	-1	0.0020988456349	2.0	0	100000	-1,1.0,0.0	-1,4.16666666667,2.18126947165	42
41472.4	oth	-1	4.99725151167e-05	3.0	0	100000	-1,1.0,0.0	-1,4.0,0.0	1
41480.3	oth	-1	9.99450302334e-05	5.0	0	100000	-1,1.0,0.0	-1,3.0,0.0	2
10976.2	amp	-1	0.00014991754535	1.0	0	100000	-1,1.0,0.0	-1,5.33333333333,2.35702260396	3
10977.6	amp	-1	4.99725151167e-05	2.0	0	100000	-1,1.0,0.0	-1,6.0,0.0	1
11688.4	oth	-1	0.00194892808955	1.0	0	100000	-1,1.0,0.0	-1,5.23076923077,2.01865071033	39
10605.3	oth	-1	0.00154914796862	2.0	0	100000	-1,1.0,0.0	-1,4.22580645161,1.49644045222	31
41479.5	oth	-1	4.99725151167e-05	5.0	0	100000	-1,1.0,0.0	-1,5.0,0.0	1
71207.3	amp	-1	0.000249862575583	1.0	0	100000	-1,1.0,0.0	-1,4.6,2.41660919472	5
11353.5	amp	-1	0.00364799360352	1.0	0	100000	-1,1.0,0.0	-1,4.34246575342,1.91045557274	73
31678.5	amp	-1	0.00014991754535	2.0	0	100000	-1,1.0,0.0	-1,3.0,1.41421356237	3
21810.2	amp	-1	9.99450302334e-05	3.0	0	100000	-1,1.0,0.0	-1,2.5,0.5	2
21739.6	amp	-1	0.00044975263605	5.0	0	100000	-1,1.0,0.0	-1,4.77777777778,1.03040205506	9
10000.3	oth	-1	0.0521713057818	1.0	0	300000	-1,1.0,0.0	-1,4.4377394636,2.09975209838	1044
10261.5	oth	-1	0.0273349657688	2.0	0	300000	-1,1.0,0.0	-1,3.48628884826,1.80930318097	547
41473.3	oth	-1	4.99725151167e-05	3.0	0	300000	-1,1.0,0.0	-1,3.0,0.0	1
30227.3	oth	-1	0.00189895557443	4.0	0	300000	-1,1.0,0.0	-1,2.78947368421,1.50713905929	38
11034.2	oth	-1	0.00304832342212	5.0	0	300000	-1,1.0,0.0	-1,3.27868852459,1.56949555999	61
41486.4	oth	-1	0.000199890060467	2.0	0	4299999	-1,1.0,0.0	-1,3.25,1.29903810568	4
10401.9	adj	-1	0.00014991754535	1.0	3	99999	-1,1.0,0.0	-1,8.0,0.816496580928	3
31740.6	adj	-1	0.000349807605817	2.0	3	99999	-1,1.0,0.0	-1,6.0,2.0	7
10015.8	adj	-1	0.0606666333517	3.0	3	99999	-1,1.0,0.0	-1,5.75947281713,2.39400783785	1214
10016.4	adj	-1	0.0189395832292	4.0	3	99999	-1,1.0,0.0	-1,4.77308707124,2.02261976996	379
10095.3	adj	-1	0.00964469541752	5.0	3	99999	-1,1.0,0.0	-1,5.21243523316,2.42000530492	193
40640.4	adj	-1	0.00014991754535	6.0	3	99999	-1,1.0,0.0	-1,3.33333333333,0.942809041582	3
10143.9	oth	-1	0.00369796611863	1.0	0	100000	-1,1.0,0.0	-1,7.12162162162,1.70811024632	74
10091.7	oth	-1	0.0249862575583	2.0	0	100000	-1,1.0,0.0	-1,6.638,1.84471027535	500
10055.4	oth	-1	0.000999450302334	1.0	0	100000	-1,1.0,0.0	-1,5.85,1.93067345763	20
10082.7	oth	-1	0.0159412323222	2.0	0	100000	-1,1.0,0.0	-1,6.17868338558,1.96586468808	319
10208.5	oth	-1	0.000649642696517	3.0	0	100000	-1,1.0,0.0	-1,4.53846153846,2.3734228647	13
90835.5	oth	-1	9.99450302334e-05	4.0	0	100000	-1,1.0,0.0	-1,7.0,2.0	2
91998.6	oth	-1	4.99725151167e-05	1.0	0	100000	-1,1.0,0.0	-1,6.0,0.0	1
